data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,1014,22,0,0,42,4,0
realDNA,256,511,0,0,0,24,23,24
DNA,256,350,0,0,0,20,3,0
proteins,256,382,0,1,0,4,6,3
english,512,965,0,0,0,13,2,2
DNA,512,805,0,0,0,24,6,1
realDNA,512,2179,0,0,0,50,14,0
proteins,512,658,0,0,0,5,3,1
DNA,1024,1738,0,0,0,307,6,79
english,1024,2828,0,0,0,25,4,0
realDNA,1024,4120,0,0,0,94,10,1
proteins,1024,1383,0,0,0,15,7,0
english,2048,3461,0,0,0,63,7,4
DNA,2048,7563,0,0,0,74,6,0
realDNA,2048,7705,0,0,0,178,6,1
proteins,2048,7683,0,1,0,23,4,1
english,4096,17603,0,0,0,465,5,47
DNA,4096,3480,0,0,0,904,13,151
realDNA,4096,13956,0,0,0,364,48,4
proteins,4096,10733,0,0,0,38,16,0
english,8192,7766,0,0,0,2202,6,23
realDNA,8192,29875,0,0,0,341,65,5
DNA,8192,24747,0,0,0,295,20,1
proteins,8192,27197,0,0,0,86,25,0
proteins,16384,41270,0,0,0,2336,20,0
realDNA,16384,35125,0,0,0,2365,30,21
DNA,16384,46099,0,0,0,885,18,2
english,16384,36684,0,1,0,2523,14,27
DNA,32768,118022,0,0,0,3784,105,4
english,32768,98063,0,0,0,501,20,1884
realDNA,32768,93898,0,0,0,1369,163,72
proteins,32768,92182,0,0,0,334,28,1
english,65536,218996,0,0,0,7704,44,52
realDNA,65536,338365,0,0,0,6985,113,890
DNA,65536,228300,0,0,0,4556,4047,21
proteins,65536,254585,0,1,0,1280,28,1
DNA,131072,512556,0,0,0,11453,106,21
proteins,131072,510886,1,1,0,1250,1227,3
realDNA,131072,480437,0,0,0,18818,198,132
english,131072,473144,0,0,0,7434,144,70
proteins,262144,914320,0,0,0,2414,184,10
realDNA,262144,978195,0,0,0,17911,93,178
DNA,262144,1021814,0,0,0,19677,846,178
english,262144,1140661,0,1,0,8790,119,65
proteins,524288,2018401,0,1,0,4814,587,8
realDNA,524288,2261629,0,0,0,32078,2170,502
DNA,524288,2014301,0,0,0,30294,124,129
english,524288,2872843,0,1,0,16371,101,115
proteins,1048576,6785423,0,0,0,16507,1559,33
realDNA,1048576,8608734,1,1,0,110517,188,2833
DNA,1048576,3750223,0,0,0,47314,257,360
english,1048576,6901412,0,1,0,38,152,46
proteins,2097152,13963477,0,1,0,30809,189,58
realDNA,2097152,15322133,0,1,0,151702,531,3843
DNA,2097152,18219952,0,0,0,139912,485,475
english,2097152,11369400,0,3,0,40,275,37
proteins,4194304,20466320,0,0,0,42452,273,53
DNA,4194304,19137534,0,0,0,245884,4138,1126
realDNA,4194304,20107766,0,1,0,239537,563,5867
english,4194304,15114090,0,2,0,39,528,4029
