data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,722,13,0,1,41,6,2
realDNA,256,110,0,0,0,227,19,18
DNA,256,90,0,2,1,14,4,1
proteins,256,104,0,0,1,3,6,1
english,512,162,0,2,1,17,2,2
DNA,512,141,0,0,1,26,7,1
realDNA,512,183,0,0,1,70,13,0
proteins,512,111,0,2,1,5,3,1
DNA,1024,228,0,2,0,203,5,72
english,1024,165,0,2,1,29,4,0
realDNA,1024,301,0,0,1,126,14,1
proteins,1024,187,0,0,1,15,7,0
english,2048,302,0,0,7,69,6,4
DNA,2048,291,0,3,1,91,6,0
realDNA,2048,404,0,2,1,109,5,0
proteins,2048,151,0,1,0,21,3,1
english,4096,394,0,1,0,124,12,21
DNA,4096,558,0,0,0,217,14,200
realDNA,4096,507,0,0,1,293,23,3
proteins,4096,328,0,0,0,52,21,0
english,8192,631,0,2,0,172,5,16
realDNA,8192,841,0,0,1,547,447,5
DNA,8192,840,0,0,0,1243,21,1
proteins,8192,7343,0,0,0,126,63,0
proteins,16384,906,0,0,0,276,20,0
realDNA,16384,5306,0,0,3,3882,37,34
DNA,16384,1811,0,2,0,4243,14,2
english,16384,1372,0,3,0,357,11,22
DNA,32768,6213,0,0,1,5349,107,5
english,32768,2449,0,3,0,738,22,48
realDNA,32768,21518,0,0,0,2300,138,47
proteins,32768,1994,0,0,0,1671,28,0
english,65536,12919,0,0,0,2459,37,83
realDNA,65536,8905,1,4,0,9620,49,62
DNA,65536,8841,0,0,1,6253,1050,11
proteins,65536,13606,0,4,0,835,29,1
DNA,131072,16414,0,0,2,9786,119,22
proteins,131072,9747,0,0,0,1533,63,3
realDNA,131072,15589,0,0,0,9103,154,530
english,131072,9410,0,0,0,3976,680,111
proteins,262144,32074,0,0,1,3461,195,5
realDNA,262144,32205,0,10,0,19862,121,276
DNA,262144,33447,0,0,7,20164,1085,48
english,262144,22136,3,2,0,7415,145,72
proteins,524288,46301,0,1,1,7251,534,8
realDNA,524288,69662,0,0,0,62581,2536,596
DNA,524288,59178,1,10,8,39625,314,164
english,524288,62526,0,23,2,19815,116,156
proteins,1048576,119131,0,0,9,22778,992,49
realDNA,1048576,286464,0,15,0,182430,205,2455
DNA,1048576,138071,0,19,18,77331,271,285
english,1048576,153568,6,18,6,42,190,41
proteins,2097152,219111,0,19,4,46206,212,43
realDNA,2097152,441606,124,20,1,287974,288,6066
DNA,2097152,389223,0,1,0,365643,609,616
english,2097152,232125,6,2,6,48,543,56
proteins,4194304,507218,0,24,6,70203,302,231
DNA,4194304,617524,0,0,0,439692,6822,2611
realDNA,4194304,873013,1,38,1,628792,606,9778
english,4194304,515852,7,2,6,54,2941,44
