data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,2607,32,0,4,40,5,2
realDNA,256,341,801,3,3,27,21,20
DNA,256,89,3,0,1,13,3,1
proteins,256,99,1,10,2,5,8,2
english,512,179,9,2,1,16,2,2
DNA,512,322,10,0,1,37,12,6
realDNA,512,173,11,0,1,67,19,10
proteins,512,301,0,6,2,11,3,1
DNA,1024,192,21,4,16,106,18,206
english,1024,142,2,3,1,33,6,0
realDNA,1024,264,44,0,1,299,54,43
proteins,1024,164,0,0,1,19,11,1
english,2048,198,7,0,3,82,6,4
DNA,2048,465,34,3,1,124,38,33
realDNA,2048,311,183,3,1,430,161,151
proteins,2048,127,4,0,0,27,8,5
english,4096,243,45,2,6,108,5,20
DNA,4096,239,97,0,98,295,85,255
realDNA,4096,292,24,0,0,994,42,25
proteins,4096,136,8,0,0,56,23,8
english,8192,378,30,4,0,191,17,25
realDNA,8192,2180,97,0,1,554,156,87
DNA,8192,468,81,0,0,480,96,77
proteins,8192,170,2,0,1,66,19,1
proteins,16384,321,12,0,0,207,24,11
realDNA,16384,604,154,0,3,4312,175,186
DNA,16384,1158,333,5,1,1078,166,154
english,16384,509,49,3,0,194,8,15
DNA,32768,1086,364,0,1,6576,412,292
english,32768,843,115,3,0,1447,49,395
realDNA,32768,1268,428,0,0,2541,436,331
proteins,32768,832,30,0,0,412,61,29
english,65536,15291,4003,1,0,3288,167,103
realDNA,65536,3563,687,5,0,5638,635,635
DNA,65536,2529,555,99,1,5024,1568,625
proteins,65536,2283,109,5,0,905,137,108
DNA,131072,8032,1292,0,3,12430,1315,1323
proteins,131072,18205,250,0,1,2591,333,261
realDNA,131072,6032,5769,1,0,21446,5905,5616
english,131072,7513,4555,1,0,7702,371,293
proteins,262144,5475,636,0,1,4207,717,575
realDNA,262144,8721,5392,8,0,39828,6079,5611
DNA,262144,14242,13884,1,5,49972,16652,14335
english,262144,7156,11142,1,0,8004,553,523
proteins,524288,11131,1239,1,2,9045,1771,1365
realDNA,524288,18964,10050,222,0,53879,12929,11056
DNA,524288,11443,7204,15,9,63736,7099,7064
english,524288,15322,30423,14,0,36347,1007,1800
proteins,1048576,28669,3504,1,3,21587,3576,2584
realDNA,1048576,86053,470228,15,0,389765,102446,160643
DNA,1048576,33477,12902,24,23,131227,13218,13062
english,1048576,45588,7,21,7,46288,47138,48715
proteins,2097152,63588,6957,27,5,51169,8079,6898
realDNA,2097152,127246,184435,18,0,927887,184520,205306
DNA,2097152,137723,42481,1,0,311774,45459,47579
english,2097152,72665,6,2,5,85034,89352,111384
proteins,4194304,149256,305085,32,6,534111,308229,305173
DNA,4194304,196051,56253,1,0,738797,63984,58361
realDNA,4194304,203630,285928,42,0,1691684,263685,279988
english,4194304,281583,6,3,5,230416,212455,211608
