data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,180,298,3,2,163,8,3
realDNA,256,1,14,275,9,33,39,31
DNA,256,2,8,6,3,270,9,6
proteins,256,1,5,2,2,10,8,4
english,512,1,11,5,3,19,8,7
DNA,512,1,11,3,1,34,15,8
realDNA,512,1,13,4,1,73,29,10
proteins,512,2,6,2,1,10,7,5
DNA,1024,2,26,3,12,229,17,90
english,1024,2,13,3,2,646,18,9
realDNA,1024,2,17,4,2,174,32,18
proteins,1024,2,12,5,2,28,18,9
english,2048,2,23,6,5,95,15,12
DNA,2048,2,22,3,4,115,24,22
realDNA,2048,1,30,10,8,227,42,33
proteins,2048,2,7,2,2,33,10,8
english,4096,2,32,5,12,161,19,56
DNA,4096,2,33,5,29,249,44,357
realDNA,4096,3,63,12,5,235,46,33
proteins,4096,2,17,4,8,73,26,16
english,8192,2,47,7,43,200,21,960
realDNA,8192,2,58,27,17,669,212,106
DNA,8192,2,96,32,66,4108,81,62
proteins,8192,2,54,11,25,153,92,82
proteins,16384,1,5732,29,60,1985,76,68
realDNA,16384,1,141,298,128,2394,223,211
DNA,16384,2,136,41,77,6750,195,974
english,16384,2,72,40,43,440,4819,211
DNA,32768,2,229,173,3973,1919,367,1095
english,32768,2,162,51,134,4721,243,2803
realDNA,32768,6,2147,24,75,6331,381,240
proteins,32768,2,74,22,26,1174,112,205
english,65536,3,467,118,97,6236,537,661
realDNA,65536,2,393,39,231,5744,694,636
DNA,65536,1,459,141,162,7604,1409,488
proteins,65536,1,2439,45,250,4540,396,258
DNA,131072,2,708,83,834,11970,1014,765
proteins,131072,2,296,326,618,3595,584,1400
realDNA,131072,1,728,89,346,13223,1593,1753
english,131072,1,1115,248,501,6546,477,584
proteins,262144,2,935,1171,1768,5187,2448,2981
realDNA,262144,12,1451,195,435,22087,2836,3178
DNA,262144,8,1629,316,1185,22531,7220,5296
english,262144,1,1216,376,386,8627,1653,2621
proteins,524288,0,941,936,3504,11839,4367,5474
realDNA,524288,1,3262,304,999,48745,6266,4929
DNA,524288,1,3510,2843,3499,70725,4160,4425
english,524288,4,3024,960,715,24711,2057,6058
proteins,1048576,3,5947,3975,10924,33625,8788,111912
realDNA,1048576,1,10691,4615,4211,199851,26816,20429
DNA,1048576,1,5572,1131,3123,127802,6810,8755
english,1048576,0,3670,3684,3337,6014,6156,13768
proteins,2097152,3,8540,16254,31741,143210,57262,61615
realDNA,2097152,5,24870,19036,13432,806895,35119,41631
DNA,2097152,1,27093,8653,8616,316704,39748,36663
english,2097152,1,9897,3127,8327,15480,11493,18657
proteins,4194304,16,1849399,70432,168382,140157,41976,55078
DNA,4194304,1,41650,667821,10151,577735,49258,46339
realDNA,4194304,1,45990,26669,37629,3158263,69931,55348
english,4194304,1,76628,63542,88788,65923,61137,852783
