data,length,construction,topMatching,midMatching,botMatching,topReporting,midReporting,botReporting
english,256,762000,24924,388,15804,140,356,84
realDNA,256,304000,376,736,372,412,100,188
DNA,256,182300,200,136,544,140,92,60
proteins,256,173900,204,300,916,112,64,72
english,512,510800,264,680,788,220,96,112
DNA,512,329000,192,268,564,188,104,64
realDNA,512,623500,272,384,760,284,136,128
proteins,512,338600,168,820,932,152,60,52
DNA,1024,715800,168,284,148,208,80,172
english,1024,1037100,480,1780,1324,420,208,132
realDNA,1024,1578100,332,1408,812,440,148,112
proteins,1024,664700,176,288,548,140,68,52
english,2048,1471000,164,1048,500,268,72,104
DNA,2048,2410200,276,612,720,364,92,56
realDNA,2048,1492400,180,376,476,480,64,60
proteins,2048,2178100,208,212,284,168,136,60
english,4096,3214600,224,2204,464,796,176,244
DNA,4096,3677200,220,592,136,772,112,680
realDNA,4096,4852600,328,760,1568,1064,140,116
proteins,4096,6751400,364,624,816,516,244,88
english,8192,7307800,224,1016,480,824,80,160
realDNA,8192,9058600,324,332,760,2036,1640,124
DNA,8192,5241000,216,396,456,1112,108,40
proteins,8192,11842800,280,652,484,1564,60,48
proteins,16384,25917000,212,496,436,1028,132,48
realDNA,16384,11998400,176,424,456,1848,168,104
DNA,16384,20671700,244,520,552,2696,212,96
english,16384,22248200,368,1240,1592,3256,544,532
DNA,32768,26450600,260,420,580,4184,1108,64
english,32768,28910900,320,1788,768,3040,188,316
realDNA,32768,23767000,216,496,428,20128,124,132
proteins,32768,68362900,168,220,356,1252,60,28
english,65536,42546300,212,708,456,3324,1828,296
realDNA,65536,46923200,224,584,424,27120,132,116
DNA,65536,108302500,420,1236,984,11612,280,152
proteins,65536,297967600,432,448,996,4352,3368,120
DNA,131072,227660100,432,996,992,23800,496,204
proteins,131072,1317910000,456,1112,976,7376,296,112
realDNA,131072,296639600,464,812,1028,24756,7448,596
english,131072,281305400,416,2324,992,13904,368,652
proteins,262144,3400505400,448,1260,1012,13392,636,120
realDNA,262144,458434300,544,1180,1048,49828,3428,892
DNA,262144,523532700,552,1168,1012,50912,1044,228
english,262144,642410800,516,2916,984,28684,1512,800
proteins,524288,5738360300,1220,5708,2820,171172,2752,384
realDNA,524288,995728700,1120,2648,1968,126648,1136,2248
DNA,524288,979919900,1160,1476,1776,652380,33008,516
english,524288,1020503100,572,3848,1020,60680,10888,1404
proteins,1048576,9138917400,544,1564,1008,58168,2548,204
realDNA,1048576,2079149400,736,1668,1168,387800,976,3788
DNA,1048576,2013863300,1008,2056,2044,1100692,1464,1484
english,1048576,1929561400,400,4360,240,432,1184,292
proteins,2097152,22996336500,632,1900,1040,114368,1484,236
realDNA,2097152,4290527600,1324,1604,1128,1041616,1292,8340
DNA,2097152,4126437000,1092,1900,1192,1810736,1624,1636
english,2097152,3801679600,408,4032,256,620,1140,260
proteins,4194304,33373280400,780,1252,1584,264352,3980,416
DNA,4194304,9364575300,1808,1504,1176,4485820,11228,3176
realDNA,4194304,9319954400,1860,1668,1516,4198456,1892,116052
english,4194304,138146367900,404,5640,248,516,1268,300
proteins,8388608,68411884100,3920,2380,1140,2091540,3732,700
