data,length,construction,top,mid,bot,topCount,midCount,botCount
english,256,5054,35,0,1,35,17,4
realDNA,256,122,1,0,0,80,14,80
DNA,256,121,0,0,0,48,48,4
proteins,256,97,0,0,0,19,24,4
english,512,227,1,1,0,76,49,10
DNA,512,186,1,0,0,102,15,4
realDNA,512,212,1,0,0,175,18,3
proteins,512,162,0,0,0,31,46,4
DNA,1024,350,1,0,1,249,53,249
english,1024,362,1,0,0,152,48,3
realDNA,1024,559,2,0,1,349,20,3
proteins,1024,310,1,1,0,79,42,4
english,2048,802,3,1,2,397,37,42
DNA,2048,813,2,1,2,506,35,4
realDNA,2048,2034,3,1,1,624,35,5
proteins,2048,1219,2,1,1,169,66,12
english,4096,1743,7,3,2,960,90,292
DNA,4096,1544,42,2,5,1060,48,1060
realDNA,4096,1232,5,2,3,1174,183,16
proteins,4096,877,3,2,6,334,252,3
english,8192,2024,7,5,313,1564,97,292
realDNA,8192,1580,20,3,5,2418,116,34
DNA,8192,1520,6,1,7,2107,132,6
proteins,8192,2175,13,373,8,747,140,4
proteins,16384,5060,261,13,1475,1454,171,4
realDNA,16384,3244,6,12,8,4204,83,123
DNA,16384,2723,6,7,16,4063,261,14
english,16384,2560,8,11,7,2801,123,368
DNA,32768,5711,10,28,463,8089,125,28
english,32768,5336,42,22,25,5105,236,448
realDNA,32768,6042,15,76,12,8209,170,201
proteins,32768,10275,17,22,40,2689,130,6
english,65536,11549,33,68,103,9899,194,601
realDNA,65536,12585,32,42,76,16323,977,296
DNA,65536,12085,29,7,104,16128,4063,63
proteins,65536,20492,24,39,131,5051,343,12
DNA,131072,25268,64,257,384,32265,504,115
proteins,131072,60390,63,90,630,9132,573,28
realDNA,131072,25991,64,190,115,34702,267,626
english,131072,26536,238,231,529,19370,246,725
proteins,262144,154502,115,316,1206,17972,1035,44
realDNA,262144,57958,394,893,6241,65544,440,968
DNA,262144,55823,168,314,976,64367,982,214
english,262144,51192,405,1031,347,38743,795,915
proteins,524288,277097,626,1713,1660,35242,893,58
realDNA,524288,123587,307,1052,1442,136213,454,2038
DNA,524288,118815,791,170,807,128732,32044,450
english,524288,111162,547,1494,2165,77724,531,1494
proteins,1048576,488408,1454,1219,1202,71494,1778,132
realDNA,1048576,277959,1013,23975,433,273145,1349,5129
DNA,1048576,243394,1350,3049,949,257532,974,964
english,1048576,242256,3153,753,989,287,695,287
proteins,2097152,1085147,535,569,5373,143293,110056,227
realDNA,2097152,674193,1829,4682,50508,556400,987,11135
DNA,2097152,557862,663,243,43473,516003,1912,1973
english,2097152,527901,5279,1422,43770,287,1447,287
proteins,4194304,1993005,1769,2257,18004,275236,1621,321
DNA,4194304,1235290,1263,1303,2130,1031617,15951,3995
realDNA,4194304,1343932,1557,1163,2027,1116337,22106,24048
english,4194304,5634423,20970,4858,15986,287,3231,287
proteins,8388608,4326552,243900,21672,53588,569689,2671,500
DNA,8388608,3068257,10213,381437,64990,2064213,2028,8120
realDNA,8388608,3077031,8474,342951,25253,2373838,1887,49992
english,8388608,16261446,303221,12823,39133,287,3910,287
proteins,16777216,408944877,129060,5724851,84179,1147105,2425,906
DNA,16777216,7699012,4957388,19469,59366,4127499,257980,16245
realDNA,16777216,118580965,34114,6758112,46384,4759901,41176,103454
english,16777216,401456523,4613571,34676,79822,287,3676,287
