data,length,construction,top,mid,bot,topCount,midCount,botCount
english,256,5640,620,17,3,34,16,3
realDNA,256,289,118,16,154,79,13,79
DNA,256,188,81,64,2,46,46,2
proteins,256,251,20,23,3,18,23,3
english,512,620,133,83,16,75,48,9
DNA,512,396,195,16,3,101,14,3
realDNA,512,470,270,19,1,173,17,2
proteins,512,432,27,40,3,30,45,3
DNA,1024,2130,309,58,309,247,52,247
english,1024,1880,167,49,2,151,47,2
realDNA,1024,939,829,26,1,347,19,2
proteins,1024,1052,100,37,3,78,41,3
english,2048,1989,667,37,55,396,36,41
DNA,2048,1779,964,36,3,505,34,3
realDNA,2048,2255,1270,39,3,623,34,4
proteins,2048,1715,170,290,10,168,65,11
english,4096,4033,2212,100,441,959,89,291
DNA,4096,3640,1981,55,3667,1058,47,1058
realDNA,4096,3728,2260,654,17,1171,182,15
proteins,4096,3344,699,256,3,333,251,2
english,8192,7499,3604,117,461,1563,96,291
realDNA,8192,9514,5231,140,38,2417,115,33
DNA,8192,11538,5391,165,4,2104,131,5
proteins,8192,6238,1085,203,3,746,139,2
proteins,16384,13210,3296,152,1,1453,170,2
realDNA,16384,19689,7603,44,96,4202,82,122
DNA,16384,10100,7507,165,5,4060,260,13
english,16384,12389,6224,65,326,2800,122,367
DNA,32768,52324,17108,70,13,8087,124,27
english,32768,78896,9967,137,416,5104,235,447
realDNA,32768,73190,12760,106,186,8208,169,200
proteins,32768,59001,6975,70,2,2688,129,5
english,65536,99809,21195,118,598,9896,193,600
realDNA,65536,157936,30736,689,237,16321,976,295
DNA,65536,90477,30384,6445,32,16126,4062,62
proteins,65536,126680,7364,233,7,5050,342,11
DNA,131072,267490,61156,365,128,32263,503,114
proteins,131072,226174,19095,459,14,9131,572,27
realDNA,131072,363869,59123,205,518,34701,266,625
english,131072,211946,39198,146,743,19369,245,724
proteins,262144,583086,38992,914,25,17971,1034,43
realDNA,262144,682720,115872,291,762,65530,439,958
DNA,262144,747661,119210,845,226,64364,981,213
english,262144,557303,77676,862,1052,38742,794,914
proteins,524288,1502873,54477,760,30,35241,892,57
realDNA,524288,1526386,296629,451,1989,136212,453,2037
DNA,524288,1567269,248609,56024,309,128729,32043,449
english,524288,1336132,134594,512,1861,77723,530,1493
proteins,1048576,2653483,112046,1868,72,71493,1777,131
realDNA,1048576,3167787,632656,1447,6800,273143,1348,5128
DNA,1048576,3284384,580072,731,637,257531,973,963
english,1048576,2583964,182,2677,612,286,694,286
proteins,2097152,5659603,247858,179759,118,143292,110055,226
realDNA,2097152,6923981,1219294,836,13545,556399,986,11134
DNA,2097152,7121243,1103067,2350,2187,516000,1911,1972
english,2097152,5845030,270,5729,870,286,1446,286
proteins,4194304,12101394,533507,2511,198,275235,1620,320
DNA,4194304,17268855,2735652,24832,4360,1031615,15950,3994
realDNA,4194304,15431882,2976411,40768,34318,1116336,22105,24047
english,4194304,12240539,271,12099,185,286,3230,286
proteins,8388608,55996257,1527363,7857,324,569688,2670,499
DNA,8388608,52670719,6874205,3167,8999,2064210,2027,8119
realDNA,8388608,43001955,9356493,1801,75659,2373833,1886,49991
english,8388608,31815181,4700,98498,4705,286,3909,286
proteins,16777216,877775923,182404816,116969,613,1147104,2424,905
DNA,16777216,684347768,351606218,9460837,32038,4127495,257979,16244
realDNA,16777216,761316965,407667452,116710,10202721,4759894,41175,103453
english,16777216,564403159,3301,28580,271,286,3675,286
